,Pretreatment_Quercetin1,Pretreatment_Quercetin2,Pretreatment_Quercetin3,Pretreatment_Quercetin4,Pretreatment_Quercetin5,Pretreatment_Quercetin6,Pretreatment_Quercetin7
ID_REF,GSM1922995,GSM1923002,GSM1923008,GSM1923015,GSM1923018,GSM1923022,GSM1923017
8061445,6.431362,6.61537,6.64041,6.500918,6.393509,6.778202,7.076747
8002987,8.149458,8.608116,7.923667,8.304383,8.156761,8.264253,8.066641
8094518,2.611674,2.404441,2.554939,2.565098,2.615635,2.581984,2.711848
8004948,4.319063,4.720036,4.68443,4.443934,4.55312,4.905602,4.433969
8088476,3.241833,2.991719,2.948442,2.934358,2.562684,2.074108,2.447269
8058221,10.37323,11.0086,10.4484,9.975848,10.46017,11.07232,10.15822
7968260,6.025167,6.143359,6.702669,5.893038,6.028338,6.311557,6.639838
8075637,6.827784,6.541843,6.742944,6.557673,6.978275,6.309998,6.563371
7926223,9.337986,8.94788,9.036045,9.024989,9.300661,8.907515,9.397224
7982018,2.245847,2.359525,2.374073,2.393629,2.454304,2.308843,2.292647
8085774,5.042308,5.582963,4.82161,4.754245,4.721862,4.522143,5.840257
8061685,9.15526,8.916639,9.068298,9.253757,9.490487,9.143602,9.344781
7975705,7.352595,7.49844,7.321031,7.5484,7.438052,7.279825,7.425755
8013616,6.584334,5.95976,6.364457,6.307441,6.42184,6.504911,6.683002
7938559,4.35149,4.487954,4.304403,4.055287,4.244695,4.667356,4.832267
7993800,8.134273,8.08512,7.866078,7.970053,7.939486,8.144688,8.031143
8035694,7.733709,7.668604,7.592873,7.818896,7.656008,7.750609,7.513233
8051028,7.147375,6.880151,6.435836,5.982677,6.038779,6.588774,6.658713
8093096,6.271239,6.102826,5.969281,6.426222,6.153102,6.437365,5.934852
8005695,5.994346,6.067344,6.063969,5.775101,5.872453,5.826594,6.251778
7931764,5.48529,6.276762,5.98263,6.242784,5.717243,6.265438,5.916347
7992032,5.972819,5.985571,6.272229,5.98738,6.014054,5.786497,5.897103
8119396,5.525796,6.607159,6.476049,5.827135,5.92258,6.440692,6.362868
7908125,6.893883,6.699515,6.564804,6.850487,6.910485,6.720931,6.952357
8078173,9.892843,9.947721,9.64614,9.268828,9.614691,9.721665,8.981947
7968796,2.795352,3.149516,2.99149,2.855343,3.415609,2.671415,2.89253
8048317,5.372554,5.348588,5.365733,6.033906,5.644547,5.437498,5.939886
8085946,7.949599,7.629243,8.22126,8.792294,7.654218,8.20993,7.597303
7998668,5.495352,5.887434,5.952796,5.584587,5.660892,5.583717,6.04592
8073513,7.814079,8.1143,7.779039,8.106448,8.345536,8.152616,7.652117
7927649,6.614877,7.003455,6.469765,6.766386,6.753064,6.650514,5.895255
8168461,3.573534,3.607207,3.644627,3.715688,3.644451,3.537807,3.477235
