,Pretreatment_Placebo1,Pretreatment_Placebo2,Pretreatment_Placebo3,Pretreatment_Placebo4,Pretreatment_Placebo5,Pretreatment_Placebo6,Pretreatment_Placebo7
ID_REF,GSM1923000,GSM1923004,GSM1923010,GSM1923012,GSM1923007,GSM1923020,GSM192998
7911902,6.29942,6.165915,6.149653,6.249587,6.138639,6.044715,5.862836
7975645,7.776053,7.725317,8.135788,7.980097,7.937396,8.10923,8.230986
8072798,11.1262,10.97034,11.00926,11.10386,11.17433,11.0892,10.80373
8062685,4.452308,4.705019,4.690016,4.50151,4.553517,4.592113,4.388875
8178470,6.411357,6.271395,6.254708,6.277634,5.797821,6.281077,6.313305
8120833,8.476401,9.162248,8.988949,7.746015,8.468541,8.803359,8.800463
7954787,6.176741,6.202891,6.235903,5.995326,6.445909,6.144425,6.386539
8162249,4.305466,4.633329,4.567725,4.680202,4.577641,4.413856,4.761341
8071392,10.35606,10.3115,10.2057,10.25721,10.24919,10.14694,10.17452
8156160,7.913877,7.691636,7.968013,8.270123,7.803319,8.729343,8.029741
7961702,4.518199,4.762786,4.442412,4.486423,4.41024,4.455594,4.787874
8058855,4.958161,5.268045,5.755399,5.57662,5.818494,5.570407,5.303191
7982527,3.884439,3.760358,3.810935,3.811317,3.631716,3.566975,3.744762
7969488,7.269961,6.968533,7.665276,7.4177,7.353336,7.11841,7.546778
8142945,6.234975,5.95024,6.261612,5.916755,6.068689,6.131642,5.666971
7919747,9.844385,9.593392,9.841884,9.39803,9.477368,10.02808,9.418293
7941714,6.751228,6.490422,6.828975,7.036625,6.379281,6.899905,6.966211
8144953,10.16865,9.850201,9.939233,9.624203,10.14773,10.41835,10.70766
8035714,9.477798,9.481258,9.371849,9.23153,9.600659,9.416501,9.012294
8061382,4.38105,4.52144,4.548769,4.838028,4.434132,4.311049,4.236814
8072603,4.534205,4.818438,5.710293,4.737745,4.469616,4.716102,4.890858
8128109,4.169376,4.286558,3.798381,4.383427,3.925171,3.833386,3.45691
8033813,8.202129,8.185341,8.321121,8.245171,8.183174,7.918671,8.14537
7979551,8.014124,8.018789,8.051126,8.087752,8.196179,7.852444,8.239291
7904572,5.645314,5.908639,5.650838,5.692352,5.323614,5.751281,6.012124
7987916,7.367308,7.371022,7.644086,7.477823,7.781643,7.75442,7.534231
7898405,2.92205,2.86895,3.06632,3.238773,2.893809,2.918064,3.034353
8090446,4.079045,4.156766,4.060504,4.196131,4.501636,3.875878,4.23011
8042720,9.165992,9.361175,9.138311,9.669749,9.208114,9.459681,9.28813
8165538,5.908243,5.928679,5.492234,6.130947,5.47153,5.952355,5.589805
8154305,11.53634,11.25627,11.71083,11.35531,11.54609,11.64947,11.88872
8139083,7.560674,7.573842,7.484672,7.526242,7.477243,7.97723,7.083776
8015955,7.741119,7.319286,7.546732,7.740689,8.079392,7.702142,7.87908
8005117,5.318292,4.870946,4.692189,5.452716,5.003649,5.235847,5.356409
8115812,6.724057,6.36383,6.599938,6.419876,6.350158,6.690563,6.552316
7956795,7.296999,7.49058,8.070775,8.003653,7.863503,8.244213,8.134357
8102592,3.359459,3.800235,3.457285,3.429519,3.357267,3.254519,3.472292
8081198,3.414046,3.297135,3.152029,3.301203,3.182869,3.091408,2.983792
8075063,7.120885,6.823291,6.933774,6.664305,6.838789,6.964734,6.951427
8006788,9.266459,9.058985,8.623861,8.857203,8.875772,8.807404,8.934239
8162086,9.703303,9.553627,9.832776,9.300114,9.719462,10.11832,9.772116
8037222,6.802223,6.867707,8.14253,6.9941,7.538338,7.624985,8.40786
7997712,9.987564,9.962711,10.2593,10.26918,9.81828,9.816002,10.33007
8054486,3.260642,3.321159,3.366509,3.124401,3.293812,3.310046,3.074087
8049752,6.56675,6.304452,6.187411,6.344474,5.870816,6.276793,5.851546
8008130,3.200651,3.169702,3.139965,3.112177,3.318278,3.14721,3.222886
7910099,8.641243,8.435184,8.705046,8.659227,8.531785,8.686007,8.78704
7939676,9.609733,9.52272,9.552732,9.340631,9.599214,9.272989,9.522556
8168412,6.081933,5.380337,7.284328,6.542083,6.765931,7.217183,6.6973
8078527,3.837248,3.800682,4.042626,4.030237,3.754803,3.690628,3.620414
8112174,5.744487,5.854031,5.554077,5.725706,5.59564,5.823418,5.564658
8102567,6.070275,6.393352,6.608136,6.663705,6.628517,6.082176,6.154577
7905598,8.315221,8.24429,8.634533,8.597641,8.256772,8.348833,8.455765
8172538,8.149471,8.302048,8.336814,7.886202,8.428151,8.306189,8.837706
8124742,6.655904,6.600898,6.617558,6.507092,6.645134,6.643352,6.724928
7984846,9.169974,9.221056,9.059918,9.096642,9.153614,9.182961,9.163836
7981283,7.453218,8.102347,7.402524,7.742037,7.731708,7.853466,7.725456
7953699,9.06486,9.163761,8.752325,8.496204,9.070583,8.881406,8.694366
7963698,8.745415,8.702523,8.608391,8.426987,8.843685,8.574559,8.591641
8158725,7.711814,7.680719,7.546154,7.31894,7.781204,7.470104,7.563986
7965064,10.16533,10.15354,10.33818,10.67675,10.32822,10.8982,10.49086
8179249,6.890933,6.975572,6.85883,6.644783,6.837525,6.612681,6.570544
8152477,9.333291,9.232783,9.483155,9.307143,9.380669,9.54882,9.343956
7923905,3.054119,3.043517,3.130438,2.909033,2.857486,3.093074,2.950829
