"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means"
"LGALS9B",9.26806414285714,9.276415,9.26944357142857,7.94315851533333,7.79723350266667
"LGALSL",9.44999192857143,9.45455157142857,9.59689614285714,5.75824360366667,5.71643362283333
"LGI1",3.22537271428571,3.17246914285714,3.16822214285714,2.45112836816667,2.410458006
"LGI2",3.82803857142857,3.83642314285714,3.735032,3.404784971,3.33350578383333
"LGI3",5.73373585714286,5.651617,5.69463128571429,4.6687500245,4.599381093
"LGI4",5.031097,5.072169,4.92556242857143,4.53134874633333,4.4846230215
"LGMN",7.44781928571429,7.50944128571429,7.446618,5.28118404483333,5.24688067383333
"LGR4",5.39469421428571,5.34867414285714,5.40377714285714,2.82350050166667,2.80875831766667
"LGR5",4.19364871428571,4.28972171428571,4.20480014285714,2.845311694,2.810197928
"LGR6",6.135386,6.14442085714286,6.17112442857143,5.5346444415,5.59748394833333
"LGSN",3.53591685714286,3.62168657142857,3.442295,2.651288646,2.60810468916667
"LHB",6.58504928571429,6.64732271428571,6.48889714285714,5.73314554533333,5.63379845883333
"LHCGR",3.72335964285714,3.855663,3.64510557142857,2.74333362433333,2.7114635315
"LHFPL1",4.0153925,4.17256314285714,4.08360814285714,3.18932087683333,3.168532566
"LHFPL2",7.67486185714286,7.530488,7.786433,5.306741228,5.20327119033333
"LHFPL3",4.75049564285714,4.96688071428571,4.76557342857143,3.050165919,3.00839240566667
"LHFPL4",5.96927571428571,5.984286,5.96219342857143,5.03071537283333,4.90002114816667
"LHFPL5",4.80759428571429,4.87143385714286,4.74182528571429,4.47755349766667,4.43246315666667
"LHPP",7.5907325,7.63930914285714,7.57929114285714,5.87095474583333,5.85846600116667
"LHX1",5.18694542857143,5.25163214285714,5.20111042857143,5.00697584083333,4.91694009725
"LHX2",5.29778535714286,5.39763242857143,5.20789585714286,4.64740512616667,4.5986538945
"LHX3",5.82819585714286,5.89735142857143,5.747756,5.34192734,5.3176412285
"LHX4",4.88053235714286,4.86483057142857,4.89476357142857,4.76630252016667,4.68292784883333
"LHX5",5.31192107142857,5.313027,5.16900685714286,4.56200691416667,4.54810112416667
"LHX6",5.81169542857143,5.78659842857143,5.76968314285714,5.044782075,5.00029904116667
"LHX8",3.77591542857143,3.794238,3.694753,3.8440496155,3.78203016716667
"LHX9",5.17668471428571,5.124583,5.15360214285714,3.215960645,3.1983202175
"LIAS",6.31517330952381,6.44040338095238,6.393076,5.377613589,5.42761479916667
"LIF",4.80568857142857,4.94504385714286,4.72185057142857,3.76088530233333,3.674318163
"LIFR",3.05479964285714,3.09340871428571,3.07480271428571,2.591085084,2.57182378116667
"LIG1",7.26623464285714,7.20295071428571,7.231358,6.34400080733333,6.33740939066667
"LIG3",8.045866,7.98018771428571,7.91397142857143,5.882378077,5.91773110433333
"LIG4",7.04200664285714,7.15401557142857,7.10735814285714,5.18591597433333,5.11735709366667
