"","GSM1923000","GSM1923004","GSM1923010","GSM1923012","GSM1923007","GSM1923020","GSM192998","GSM1922995","GSM1923002","GSM1923008","GSM1923015","GSM1923018","GSM1923022","GSM1923017"
"HIST1H2BG",6.309586,6.383619,6.29437,6.74877,6.275072,6.202226,6.420875,6.234982,6.161482,6.347816,6.218696,6.374243,6.188339,6.745205
"HIST1H2BH",8.786076,9.01975,8.925199,9.312711,8.942656,8.76197,9.00502,8.658217,8.84715,8.891115,8.809887,8.779849,8.809394,8.795084
"HIST1H2BI",4.474368,4.532951,4.435485,4.71677,4.320302,4.411517,4.465475,4.274994,4.611424,4.484047,4.373677,4.355898,4.416502,4.281679
"HIST1H2BJ",6.896855,6.85299,6.669563,6.683621,6.545415,6.821371,6.591488,6.976266,6.909708,6.643072,6.480782,6.770312,6.23998,7.176902
"HIST1H2BK",9.821423,9.989374,9.781071,9.824696,9.941596,9.799089,9.870311,9.666318,9.930917,9.674555,9.814528,9.717185,9.542244,9.978299
"HIST1H2BL",5.507717,5.688955,5.232935,5.939651,5.296899,4.970679,5.807273,5.338013,5.846859,5.726192,5.658881,5.451787,5.993754,6.058329
"HIST1H2BM",8.795105,9.382564,9.16721,9.070474,9.051657,8.612776,8.658863,8.46496,9.2173,9.22213,8.980822,9.181227,9.302525,9.232037
"HIST1H2BN",6.531247,6.412721,6.405204,6.334267,6.124773,6.368952,6.360522,6.382303,6.628489,6.321447,6.380687,6.393401,6.326018,6.542127
"HIST1H2BO",6.006913,6.381853,5.911001,5.668666,5.962283,5.963724,5.577107,5.315318,5.97342,6.008106,6.212303,6.13308,6.142775,6.340142
"HIST1H2BPS1",3.758341,3.855942,3.734058,3.961935,3.433953,3.873174,3.927837,3.589591,3.899373,3.90378,3.311688,3.999059,3.762503,3.661412
"HIST1H3A",6.025408,5.979362,6.2379,6.382706,5.632019,5.887669,5.90109,5.799277,6.096285,5.924193,5.904119,6.093031,6.117657,6.07331
"HIST1H3B",7.381067,7.117711,7.280675,7.536928,7.29336,7.254431,7.416393,7.293819,7.486125,7.450784,7.242178,7.806639,7.372054,7.751193
"HIST1H3C",5.264874,5.240626,5.181437,5.53286,5.111011,5.388847,5.402666,4.817675,5.359898,5.42375,5.325212,5.493769,5.304612,5.398608
"HIST1H3E",5.004338,4.657522,4.69345,5.406825,4.955034,4.365675,5.08771,5.834174,4.871345,4.47044,4.767454,4.484102,4.255515,4.629544
"HIST1H3F",5.842753,5.872699,6.068742,6.385006,6.400049,5.957763,6.099106,5.811113,5.962628,6.15242,6.295188,6.305812,5.963704,6.108925
"HIST1H3G",5.150562,5.104813,5.241434,5.286571,5.345464,5.156017,5.162773,5.028732,5.080245,5.518016,5.087386,5.285072,5.561168,5.267229
"HIST1H3H",9.477452,9.671532,9.173155,9.413342,9.46887,9.596442,9.42374,8.873301,10.00085,9.442165,9.365003,9.594999,9.684006,9.907255
"HIST1H3I",9.839099,10.44095,10.08127,10.62031,10.32885,9.713821,10.19521,9.971954,10.40832,10.26469,10.22025,10.16565,10.09724,9.776803
"HIST1H3J",5.401449,5.68824,5.71878,5.90277,5.487296,5.677452,5.632699,5.382552,5.705009,5.587127,5.472689,5.706604,5.679495,5.550809
"HIST1H4A",5.600461,5.547736,5.462804,5.745482,5.395748,5.490034,5.427349,5.667008,5.617083,5.830585,5.615227,5.568405,5.325334,5.588921
"HIST1H4B",7.627902,7.736619,7.324683,8.046165,7.86889,7.480545,7.379063,7.679485,7.657668,7.724308,7.248268,8.182491,7.706583,7.449782
"HIST1H4C",9.600511,9.611061,9.597875,9.8917,10.01928,10.04133,9.902437,9.735917,10.66341,10.18726,9.491776,10.17427,9.989352,9.891071
"HIST1H4D",7.422189,7.170626,7.630767,7.359245,6.987214,7.538541,7.175172,7.426206,7.758042,7.150638,7.388114,7.561103,7.452934,7.604595
"HIST1H4E",8.655526,8.463061,8.560685,8.979989,8.209473,8.490339,8.255223,8.620057,8.714155,8.792287,8.497347,8.67564,8.473169,8.494788
