,Posttreatment_Placebo1,Posttreatment_Placebo2,Posttreatment_Placebo3,Posttreatment_Placebo4,Posttreatment_Placebo5,Posttreatment_Placebo6,Posttreatment_Placebo7
ID_REF,GSM1923001,GSM1923005,GSM1923011,GSM1923013,GSM1923021,GSM1923006,GSM1923014
7937485,9.892435,10.60934,9.651564,9.978848,10.14621,9.990643,10.23298
8008723,5.273405,5.112652,5.248986,4.789705,4.71122,5.109573,5.246673
8034401,7.80005,7.935627,7.718783,7.824608,8.055575,7.930401,7.654703
8042501,5.444144,5.712818,5.05853,5.380638,5.42477,5.444597,5.652342
7994252,5.025675,5.080236,5.474033,5.122858,5.003191,5.080236,5.222303
8048518,5.836735,6.012842,5.879447,6.166945,5.836689,5.929223,5.8369
7948312,3.234232,3.243394,3.12942,2.986123,2.978792,3.539815,3.485927
8165864,2.897746,2.825091,3.076913,2.758127,2.680369,2.565918,2.637305
8085233,8.192394,8.397353,8.080484,8.236546,7.899762,8.252663,8.366827
8078386,6.994947,7.096227,7.116183,7.227443,6.896676,7.098985,7.053546
8113689,3.950968,3.350242,3.868908,3.549633,3.428951,3.46979,3.369634
8131205,5.797136,5.458953,5.63573,5.464658,5.585172,5.543672,5.653441
7931187,8.672295,8.936074,8.794997,9.035161,8.812449,8.822471,8.77201
8021683,2.544303,2.374686,2.468888,2.24936,2.349502,2.588031,2.4575
7941707,8.410088,8.669509,8.493879,8.481094,8.696788,8.494297,8.533625
8114845,4.524153,4.549771,4.495131,4.728538,4.905926,4.710216,4.579937
8040413,2.653702,2.571824,2.688833,2.725041,2.383417,2.486001,2.718773
8130660,6.546393,6.615827,5.975202,5.681892,6.29027,6.260796,6.494637
8145611,5.006956,5.212108,5.590323,5.133915,5.728513,5.35468,5.36164
7936062,5.770371,5.226049,5.580272,5.74208,5.655469,5.611612,5.388058
7937112,4.457586,4.309498,4.648099,4.264478,4.506976,4.693134,4.26811
8120378,7.182332,7.678301,6.974516,7.584537,7.287645,7.544936,7.393599
8174494,1.790284,2.221212,1.756129,1.734364,1.774781,1.613962,1.669776
7948902,7.38527,7.696391,6.891864,7.430845,8.086906,7.567549,7.270337
8056039,4.482345,4.526069,4.407657,4.500993,4.215664,4.118103,4.536853
8121251,3.375686,3.415994,3.578131,3.622349,3.340827,3.54663,3.336843
8041640,5.837338,6.048292,6.098453,6.277046,6.128336,5.986576,6.092138
8161986,4.897021,4.790063,4.695566,4.838103,4.681299,4.756416,5.006361
8067818,5.253543,4.786594,4.916872,4.459647,4.90216,4.607837,4.449655
7925755,5.947973,4.693822,5.202943,5.182534,4.908195,5.325788,5.396676
7982036,2.004613,2.153085,1.953585,1.966679,1.961521,1.932451,1.992477
8023121,4.994286,4.802223,5.388774,5.010739,4.796701,5.09027,4.944633
8024331,6.26055,6.155814,6.259376,6.068284,5.732134,6.022437,5.88815
7960728,9.409688,10.07572,9.226679,10.19794,10.33558,9.987178,9.426479
8031097,9.521154,9.852911,9.60687,9.828645,9.640258,9.762442,9.897672
8113350,2.018485,2.088735,1.975912,2.034248,2.00221,1.974782,1.959751
8162247,7.601072,7.566259,7.595233,7.598122,7.772026,7.525107,7.686644
7937961,3.796565,3.845441,4.244624,3.838073,3.902895,4.064038,3.65795
8080121,7.921721,8.130479,7.980277,8.156466,7.943534,8.183121,8.243018
8058486,6.74108,6.975843,6.76545,7.031672,6.947424,7.044518,7.053977
8131550,4.456437,4.600406,4.617949,4.420727,3.904153,4.317347,4.22332
8062908,11.15606,10.94464,11.03894,10.8874,11.11071,10.97928,10.9728
7904106,5.685624,5.346244,5.761551,5.514047,5.624093,5.65846,5.665968
8026587,5.163634,4.908284,5.348129,4.740153,5.044243,4.969069,4.893221
7974316,4.682235,4.556843,4.781193,4.604224,4.620691,4.498343,4.501058
7998898,4.116331,4.00054,4.344761,3.980525,4.160234,4.27607,4.601667
8152606,9.216901,9.495459,9.605739,9.416204,9.225817,9.46063,9.544903
8083652,5.742887,5.516912,5.416037,5.570397,5.395583,5.224946,5.475534
7988537,5.885869,5.982612,6.081838,5.750372,5.756201,5.58396,5.874549
8095159,8.18083,7.928849,8.154473,7.839666,8.186327,8.173382,8.014699
8026520,9.49226,9.588979,9.558359,9.643899,9.526918,9.605305,9.61613
8134678,2.810035,2.891618,2.881004,2.844622,2.996165,2.955996,2.743004
8009662,4.922552,4.853131,5.006619,4.924179,4.913744,4.934836,4.765751
8097116,8.181271,7.382664,7.70407,7.507088,7.787902,7.513391,7.565479
8047852,2.891753,2.769637,2.791498,2.839986,2.769009,2.872905,2.643366
7962181,2.331479,2.34234,2.431198,2.294972,2.362806,2.444648,2.273726
8144951,7.271444,7.060945,7.226015,7.356354,7.40886,7.247212,7.336119
8067521,6.880773,6.430151,6.736027,6.502711,6.64006,6.638912,6.664444
8112176,6.328483,6.986057,6.077934,6.728159,6.374866,6.02691,6.30413
8098344,4.126477,3.921332,4.31383,3.87355,3.927652,4.083691,3.765419
8074701,4.994215,4.677485,4.966341,4.846074,5.036837,5.21711,4.89053
8055404,5.725187,5.640531,5.676429,5.434534,5.62355,5.717162,5.913563
8111253,3.732117,3.406136,3.449835,3.47499,3.318715,3.453531,3.46201
7941822,8.79805,8.618431,8.665098,8.891825,8.86437,8.743581,8.859655
7955943,6.500916,6.725379,6.826309,6.788804,6.7924,6.723305,6.465371
7999965,5.034728,4.656979,4.864905,4.738996,4.850908,5.021087,5.010638
8028908,6.524543,6.737448,6.674988,6.995069,6.800074,6.706768,6.894167
8030416,6.988546,6.758459,6.938587,6.904302,6.826489,6.874749,6.817615
8151421,4.384034,4.599427,4.492059,4.458914,4.450509,4.474874,4.344178
8064500,2.192411,2.337234,2.300092,2.19464,2.33462,2.266909,2.332501
7907079,9.659286,9.612683,9.662621,9.454366,9.349268,9.651456,9.810587
8080853,5.501667,5.419943,5.420074,5.486711,5.441548,5.41221,5.219707
7897995,3.530427,3.35851,3.522489,3.324277,3.491088,3.382833,3.552892
8154225,7.232288,7.238872,7.068401,7.233752,7.316021,7.42315,7.349233
8021995,2.917496,2.811049,2.822749,3.125154,2.86643,2.811049,2.811049
8059985,5.610593,5.163529,5.429177,5.337616,5.348541,5.182523,5.385827
8073943,7.752255,7.71629,7.694073,7.703563,7.856153,7.553148,7.775791
8162884,4.921656,4.795061,5.378597,4.883829,5.004401,5.140391,4.893406
8104392,3.377157,3.216884,3.508777,3.184756,3.282223,3.319203,3.19082
8039842,8.51018,6.932832,7.924741,9.081696,8.231463,8.42134,8.286776
8103411,4.38473,4.087517,4.018497,4.077103,4.212729,4.219268,4.250667
7975989,8.26123,8.697918,8.040802,8.512321,9.022662,9.070477,8.545738
8139810,3.422322,3.533643,3.618233,3.366239,3.398504,3.547045,3.425187
8084889,4.457096,4.345416,4.22006,4.274014,4.457096,4.552348,4.457096
7996468,5.338475,5.37923,5.481815,5.439103,5.092722,5.586582,5.431452
7927669,7.575958,7.650106,7.421062,7.802773,7.825343,7.474844,7.776616
8053775,7.019675,6.806878,6.195705,7.206748,7.230614,6.746283,7.090416
8056693,6.548244,6.805361,6.597642,6.829926,6.91715,6.68691,6.445557
8089082,5.247054,5.260488,5.242861,5.204931,5.351139,5.104457,5.456864
8065555,3.956119,3.782486,4.012859,3.684513,3.914186,3.733335,3.730754
8152812,5.599783,5.839013,5.463076,5.608028,5.59986,5.478548,5.599783
8085967,5.273417,5.462559,5.319705,4.979272,4.873543,5.036503,5.16513
7904755,9.424058,9.619265,9.415097,9.678427,9.583173,9.559784,9.561062
8179648,6.464768,6.409896,6.555916,6.475846,6.462336,6.476372,6.466594
8053646,2.487005,2.378749,2.562731,2.162855,2.365039,2.40036,2.349073
8178199,12.09363,11.80875,12.24376,12.28765,11.64501,11.77291,12.24107
8097120,3.084426,2.904884,2.966128,3.063708,3.045956,3.032801,2.968995
8116573,4.591369,4.250048,4.521916,4.373747,4.33756,4.238539,4.265697
8058666,2.533191,2.565578,2.357901,2.44332,2.457452,2.556418,2.821122
